1108;967;1257;1229;1010;1169;926;1060;1176;1303;851;1122;1026;1110;1115;957;1094;1087;1106;864;1154;1143;1001;959;1277;1069;1101;1044;1106;1014;951;1092;857;1033;1068;1147;934;1051;1042;1025;1026;1191;1018;1050;1173;1147;942;905;939;1147;963;1107;1009;1001;1205;903;1300;1045;1329;901;1019;1116;1074;903;973;931;1262;852;979;956;1051;1019;1022;858;1126;1177;1317;1196;1027;994;981;926;1004;1074;845;1166;1121;1020;907;896;1027;834;988;929;892;946;965;1150;990;962
2890;2778;2913;3476;3059;2883;3033;2960;2794;3006;3122;2558;2718;2783;2626;2634;2692;2631;2711;2809;3039;2990;2826;2776;3101;3060;3168;2896;3059;3076;3114;3126;2819;3076;2854;3014;2908;2646;2749;2768;2783;2769;2945;2832;2562;2798;2717;2789;2604;2810;2883;2765;2842;2591;2870;2767;2811;2807;2906;2801;2735;3039;2929;2861;3239;2888;2737;2815;2906;2866;2773;2566;2883;2632;2588;2968;3109;2979;3225;2999;3198;2694;2823;3160;3008;3048;2924;2901;2838;2711;2917;3003;3211;2859;2916;2807;3033;3023;2928;3103
5789;5564;5713;6003;5734;5382;5228;5506;5377;6145;5453;5370;5351;5722;5553;5838;5940;5619;5768;5281;5535;5815;5854;5919;5530;5202;5618;5229;5689;5676;5911;5629;5348;5528;5450;5638;5720;5354;5179;5474;5411;5559;5346;5341;5543;5810;5346;5573;6045;5515;5266;6282;6043;5687;5812;5588;5519;5522;5654;5553;6037;5554;6090;5294;5452;5699;6050;5483;5848;5503;5393;5852;5594;5742;6112;5264;5290;5451;5640;5401;5399;5387;5400;5358;5648;5392;5540;5443;5472;5188;5415;5259;5519;5780;5570;5960;5501;5668;5359;5523
9407;8762;9474;9426;9053;9287;9278;9693;9623;9239;9148;9841;8837;9816;9326;9464;9484;9458;9582;9748;9100;8942;9164;8815;9269;8702;8802;9814;9632;9490;9200;9371;9093;9178;9222;8660;9152;9966;9854;9786;10241;9539;9058;9843;9137;9062;9147;9759;9784;9707;9422;9178;9161;8864;9789;8763;9418;8867;9035;9169;9086;9767;9296;9734;10025;8455;9511;9656;9499;9142;9594;8745;9807;9695;9214;9005;9761;9744;9751;10242;9385;9247;8926;9418;8887;9511;9363;8874;8956;10006;9036;9723;9434;9157;9378;9704;9295;9588;9564;10617
13976;14632;13421;14023;14059;14144;13441;13446;13206;13553;13252;13626;13444;14544;13690;14228;14956;14255;14167;14156;14024;14275;13626;14264;13492;13154;13576;13865;14054;13782;13970;14533;13667;13511;13249;13300;14114;13916;13760;14346;14449;13840;13886;14001;14375;14387;13981;14233;13635;13827;13792;13592;13821;14111;13555;13232;13478;13976;13979;13872;13174;13339;14038;13691;14132;13367;13820;14128;14122;13585;14180;14182;14248;14306;14101;14195;13776;14690;13509;14207;14572;13660;13806;14427;14356;14117;13593;13645;13596;13985;13734;14429;13555;13372;13896;13466;13984;13748;13570;14244
19126;18851;20696;19569;18823;20112;19266;19364;20336;20048;20132;18963;19539;19448;19464;19302;18761;19138;18714;19423;19513;18970;19441;18688;20093;19525;19299;19736;20227;20093;19693;18967;19402;19842;20023;19328;19904;19412;18363;18120;18714;18929;19798;18997;19640;18851;18750;19350;19855;19289;19805;19407;19217;19290;20088;19438;19495;19230;18899;18951;20550;19258;19230;18881;18990;19476;18666;19206;19144;19367;18791;19193;18497;19305;19398;19183;19198;18613;19994;19415;18612;19425;19142;19190;19799;19961;19282;19245;19506;18892;19189;19009;18909;19031;19186;18836;19267;19034;18740;19341
25527;26273;26642;25417;25685;25270;25489;25500;25959;24560;26020;25011;24591;25512;25013;27000;27060;26224;27419;26012;25962;25502;25767;24858;25312;27154;27876;27043;26335;27668;25950;26327;26065;26200;26365;26027;27231;26711;26383;26655;25635;25774;26852;26713;26167;26335;25848;27152;26755;26195;27060;26099;26570;26310;26233;26962;25005;25605;25763;25392;25307;25815;25555;25271;24719;25007;25472;26400;25466;25596;26708;26325;26291;26547;26251;25998;26133;26009;27123;26731;26656;25305;26020;26570;26334;26713;26755;25565;25637;25220;26094;26118;25375;25618;25447;25306;25579;24823;24515;25454
2003;2007;1859;2036;2128;1881;2158;2280;2110;2019;2178;2370;2226;1788;2039;2214;2175;2139;1980;1907;2212;2396;2217;2091;2064;2373;2044;1965;1980;2150;1765;1997;2169;1921;1958;2082;1744;1898;2128;2102;2401;1812;2209;1949;2149;1795;2082;1839;2201;2168;1831;1991;2035;2405;1724;2251;2023;1812;2159;1932;1913;2018;2147;2193;2335;1926;1802;1847;1956;2118;2162;2161;2133;2078;1708;1949;1864;2016;2002;2282;1949;2108;1874;1908;2080;2255;2075;1994;2283;1983;2333;1965;1742;2058;2085;1970;2110;1973;2367;1856
5539;5798;5966;5474;5488;6285;5850;5237;5512;5662;5747;5940;5562;5658;5931;5590;5440;5504;5738;5543;5949;5626;6070;5655;5557;5891;6069;5780;5965;5877;5942;5585;6147;6082;5463;5302;5824;5747;5596;6052;5606;5574;5313;5425;6039;5774;5643;5524;6487;5434;5821;5676;5969;5696;5937;5871;5314;5769;5828;5701;5713;5448;5594;5475;5829;5495;5763;5725;5492;5762;5825;5773;5495;5652;5578;5188;5987;5455;5948;5898;6026;5484;5769;5331;5836;5411;4991;5419;6028;5642;5711;5424;6027;5312;6112;5793;5483;5501;5537;5736
11215;11653;11791;11301;11037;10691;11176;10780;11119;10950;11588;10760;11235;11311;10693;11219;10964;10640;10789;10907;10874;11034;11858;11112;11773;11453;10751;11515;11200;10743;10897;10694;10716;10816;10687;10980;10634;11286;10732;10521;10700;10986;10746;10592;10834;10619;11218;11171;10771;10843;11121;10845;11041;10937;10584;10490;10689;10924;11011;10839;11102;10904;10586;10750;10692;11120;11032;11650;11256;11167;11060;10743;11264;11490;11087;11941;10691;10578;10969;10863;10736;10991;11015;11024;10975;10919;11013;10761;11333;10778;10936;10913;10860;10981;10875;11799;11446;10858;11465;11295
18045;19200;17821;18442;17624;17755;18614;18344;18986;18314;17856;18401;18963;18459;18665;18900;19043;18343;19430;17872;18467;18828;18968;19194;19281;18547;18637;18439;18281;18955;18429;19025;18372;18855;18128;18420;17811;17806;19190;18244;17724;18626;18059;19013;18918;18690;18609;18471;17756;18494;19143;19109;17566;19220;18578;18886;18750;19105;18942;19046;18070;18815;18538;17714;18272;18117;17095;18406;18398;18047;18606;17745;18833;18972;19219;18251;18669;18953;19320;18896;19600;18276;18945;19291;18137;18949;18551;18615;18919;18695;19058;17934;18011;18807;18128;18265;18479;18302;17592;17561
26771;26867;27556;28425;27922;28314;27800;28199;27959;27097;26658;27681;27297;26778;27861;28467;27906;28747;27221;28358;26354;28555;27088;27732;28068;28763;28611;27241;26558;26458;27165;26793;28404;27261;26759;27144;27300;27955;28075;27887;28975;28953;29138;27769;28169;28308;28285;28278;28225;28828;28103;28406;28879;27250;27131;27444;28847;28349;27335;27757;27743;26954;27497;27160;27871;28037;26030;27903;28473;27325;26448;28947;26959;26870;26639;29136;28592;27479;27602;27988;27222;27978;27362;28051;28382;27851;27896;27027;27607;28207;29126;28052;26857;26861;29034;28684;27486;27843;26582;28239
39484;37596;39068;38813;38771;37757;38317;39230;39385;40080;39117;38309;39494;37604;39712;38048;39093;41055;39550;37434;39562;39059;39948;38247;38511;38873;39812;38200;37691;39074;38445;38240;38481;37174;39038;37402;38818;40043;39896;39460;39667;40226;39950;37436;39334;38577;37723;37907;39754;39211;39049;38190;38974;37235;37754;38024;41118;39212;39239;39855;38895;39921;39569;38253;39019;39775;39479;40189;39253;38912;39364;39332;38351;38400;38657;37710;38522;38222;38003;37487;39283;38613;39854;40106;40418;40100;38902;40163;39532;40295;39252;39899;40613;38602;39180;39874;40694;36587;38686;39993
52802;52624;52641;52202;52849;52348;53360;53551;53015;51014;54234;54981;53786;51965;50922;50924;53421;50959;49657;49797;51656;53056;53722;52932;53334;53496;52747;54239;53150;53611;51989;53371;50811;53284;52681;52752;51435;51376;50279;52296;53942;53225;53010;52113;53517;51082;51550;53878;53498;50215;52897;52437;52014;54596;50495;50693;50466;52861;52803;53740;52735;51605;51423;51056;51235;52724;51967;50930;53926;52363;53016;51273;51944;52863;52498;51687;51468;52586;51880;52504;50462;50856;51332;52746;52498;52482;52198;50586;52198;52719;53275;50269;50088;53432;52767;53221;51425;51076;51431;51184
4;4;3;3;3;4;3;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;4;4;3;3;4;3;3;3;3;3;3;5;4;4;3;3;4;4;4;5;5;5;4;3;4;4;3;4;4;5;3;4;4;4;4;6;4;4;5;3;4;6;4;3;3;3;3;3;3;3;3;5;3;3;3;3;3;4;3;4;4;4;4;3;4;4;4;5;3
4;5;5;5;5;5;5;4;8;6;5;5;4;6;4;4;6;4;4;4;4;5;4;4;5;5;5;5;5;4;6;5;4;5;5;5;5;6;5;5;5;5;5;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;6;5;5;5;6;5;5;5;5;5;5;5;5;6;6;5;4;5;5;5;5;4;4;5;4;5;4;4;4;4;5;4;5;5;5;6;6;5;5
6;7;7;6;6;6;6;7;7;6;6;6;7;6;5;6;7;6;7;6;6;6;10;9;7;8;7;6;7;6;7;6;7;6;7;6;6;5;6;6;6;6;6;7;6;6;6;7;6;5;4;5;5;6;6;7;6;6;6;5;6;6;7;10;6;7;6;7;7;7;6;7;5;6;6;5;5;5;5;5;5;5;5;4;5;5;5;5;6;6;6;5;6;6;6;6;6;6;7;6
8;7;8;6;11;6;6;6;7;6;7;6;6;6;6;7;7;8;7;7;7;7;7;8;7;8;7;7;8;8;6;12;6;7;6;6;7;6;6;7;6;6;8;8;8;7;6;7;7;7;7;7;7;7;8;7;8;7;6;7;7;6;7;6;7;7;6;10;7;7;7;6;7;7;8;8;7;7;7;7;7;8;7;7;7;7;6;7;6;7;7;6;6;7;8;8;7;6;9;8
10;9;9;9;9;10;10;8;12;8;9;8;10;12;15;13;13;14;13;15;13;12;16;13;16;14;15;12;15;12;12;12;12;10;15;14;13;13;16;15;11;7;9;10;13;14;11;12;12;14;15;11;13;11;8;9;9;9;7;14;13;11;11;11;12;12;11;11;12;10;9;9;10;7;8;11;13;12;10;11;13;12;12;11;11;13;8;8;8;7;8;10;13;10;13;12;11;12;16;12
13;11;10;10;8;10;9;16;13;13;16;16;13;16;11;10;11;16;8;18;15;13;12;13;15;13;13;14;14;9;9;14;12;15;15;15;14;17;14;15;15;15;16;16;16;14;14;14;14;17;16;15;15;20;17;16;20;19;14;16;13;14;15;14;16;16;16;12;11;10;10;10;16;18;13;15;17;16;15;14;11;13;12;13;10;15;14;14;13;14;14;13;11;13;11;9;10;8;10;16
15;15;14;17;16;15;14;13;10;15;12;17;17;15;20;16;16;12;14;10;15;10;11;22;15;17;18;14;16;12;19;18;12;12;17;16;14;15;19;19;16;16;18;18;17;17;16;17;16;17;18;17;18;15;16;21;14;19;16;21;17;20;19;15;21;11;12;11;14;13;19;15;17;18;17;13;14;12;13;15;12;17;17;15;16;15;17;15;15;14;12;12;12;14;15;15;15;18;16;16
128;82;109;141;88;118;102;119;133;82;111;94;168;103;118;128;117;124;164;162;162;114;105;143;104;136;170;114;127;151;96;168;85;130;112;104;85;87;88;94;90;111;88;90;149;86;93;104;87;106;121;107;127;140;87;103;95;80;86;89;99;101;135;131;107;83;95;167;152;111;83;140;155;118;80;159;108;95;166;157;163;106;100;163;114;84;96;90;158;101;80;102;106;99;123;96;91;97;99;106
286;361;326;339;251;291;326;312;311;280;237;365;251;291;265;302;319;377;304;272;268;323;427;442;410;318;332;302;360;446;276;271;332;282;285;324;333;342;264;252;277;418;297;320;308;325;249;366;325;252;417;286;275;332;330;366;271;277;384;376;449;429;248;319;252;281;295;383;300;307;300;334;239;435;422;263;239;295;248;290;238;296;348;262;296;421;392;290;347;256;400;462;445;292;328;326;313;336;343;272
652;540;748;534;675;659;647;542;511;685;527;788;666;570;798;650;578;741;618;562;704;715;671;696;789;620;562;530;636;716;597;650;616;539;660;737;608;628;584;554;603;559;747;593;515;578;670;609;484;790;551;647;500;606;580;721;690;578;695;601;592;728;577;719;577;678;552;618;648;590;718;620;607;620;570;582;631;622;670;695;648;599;736;676;580;641;559;629;699;598;588;577;577;594;553;574;553;590;592;741
1021;993;994;1076;1053;1076;1117;947;1157;1015;996;1051;1043;1034;1030;1006;1029;966;1023;1003;1053;1054;973;932;1052;1093;918;1004;1105;990;1039;960;998;1194;1068;1036;1305;981;925;1260;1006;1027;1014;1055;1145;989;963;1000;1063;928;942;1137;1163;936;1207;878;1210;1031;1053;1073;1030;1102;1024;881;1021;1050;1147;1190;1161;1069;1234;1106;1148;952;852;1079;906;1159;1095;999;814;1036;1128;975;824;1134;1115;1274;1213;1007;1034;1163;913;1022;1026;1048;905;1133;1037;1036
1616;1630;1639;1670;1746;1621;1669;1801;1763;1623;1929;1431;1840;1586;1370;1622;1725;1597;1370;1499;1597;1364;1586;1678;1500;1596;1734;1658;1629;1611;1514;1640;1600;1380;1591;1372;1900;1398;1769;1481;1499;1685;1583;1768;1571;1428;1594;1559;1703;1637;1564;1603;1509;1706;1497;1592;1522;1748;1459;1587;1659;1822;1757;1970;1503;1547;1517;1701;1719;1786;1469;1605;1437;1553;1639;1825;1688;1407;1793;1539;1598;1586;1617;1518;1591;1580;1501;1626;1671;1570;1734;1746;1390;1745;1371;1647;1744;1546;1667;1639
2151;2208;2441;2203;2534;2217;2242;2235;2304;2088;2084;2238;2430;2300;2636;2026;2429;2212;2376;2281;2638;2220;2448;2335;2335;2256;2040;2088;2458;2023;1890;2326;2074;2288;2364;2325;2357;2249;2126;2319;2196;2369;2237;1939;2374;2241;2309;2472;2318;2296;2392;2367;2257;2398;2114;2370;2333;2171;2271;2336;2198;2093;2047;2185;2264;2209;2727;2101;2081;2207;2363;2415;2385;2157;2068;2038;2140;1993;2405;2380;2348;2437;2360;2068;1917;2522;2164;2589;2389;2020;2394;2148;2221;2205;2505;2219;2249;2358;2083;2043
3128;3108;3421;2812;2877;3090;3142;2925;2859;3335;2665;3123;3273;3150;2815;2914;2730;2605;3227;3263;3026;3043;3133;2910;2787;3010;2893;2815;2767;3059;2947;3127;2755;3272;2985;2913;3227;3160;3277;2956;3053;3094;2813;2639;3013;2849;2994;2925;2913;2944;2761;3061;2624;2773;3051;2959;3003;2703;3046;2984;2875;3055;2955;2955;3017;3073;3062;2947;2944;3087;3164;3086;3396;3366;3059;2963;2913;3101;2935;3150;3211;2762;2583;3211;2693;2941;2809;2691;2977;2937;2912;3063;2619;3425;2916;2934;3033;2821;2941;3081
472;392;458;399;594;482;513;511;418;528;447;490;413;373;443;471;505;419;427;384;421;443;398;626;524;397;585;466;537;402;407;395;462;463;471;583;422;382;600;520;494;505;411;451;384;483;403;378;534;477;521;397;535;585;502;466;398;514;466;414;452;421;463;505;461;405;478;469;456;505;415;374;423;569;438;465;362;419;532;356;451;388;617;610;379;464;443;434;426;502;440;411;361;480;430;432;454;511;440;387
1101;1112;1373;1217;1318;1230;1227;1245;1465;1238;1297;1356;1293;1182;1105;1178;1284;1372;1169;1279;1187;1229;1181;1397;1280;1195;1148;1233;1560;1207;1544;1253;1169;1482;1332;1141;1327;1389;1172;1205;1200;1425;1208;1402;1151;1177;1453;1240;1471;1413;1256;1393;1411;1204;1134;1164;1197;1302;1329;1333;1314;1120;1240;1263;1212;1527;1414;1441;1384;1358;1214;1260;1189;1422;1245;1373;1607;1349;1163;1365;1330;1328;1391;1318;1664;1493;1250;1162;1190;1434;1334;1119;1204;1113;1387;1296;1246;1089;1228;1525
2619;2670;2387;2684;2324;2449;2571;3064;2470;2787;2540;2876;2590;2660;2223;2306;2262;2264;2370;2584;2186;2823;2600;2150;2283;2807;2502;2437;2232;2713;2647;2498;2331;2566;2609;2616;2770;2527;2648;2615;2484;2188;2698;2905;2498;2451;2532;2641;2684;2425;2647;2638;2843;2397;2592;2457;2712;2253;2542;2239;2751;2711;2632;2325;2706;2483;2823;2348;2231;2741;2304;2507;2495;2357;2416;2679;2791;2289;2779;2454;2355;2444;2573;2735;2531;2821;2605;2939;2558;2484;2451;2395;2994;2327;2445;2320;2564;2648;2509;2741
4042;4010;4084;4116;3989;4251;4320;4042;4282;4113;3933;4374;3980;4120;4129;3973;4454;4253;3784;4232;4074;4158;4453;4206;4331;4359;4286;3900;4185;4812;3964;4184;4097;4063;4203;4321;4580;4391;4449;4300;4070;4143;4087;4349;4722;4239;4291;4075;3902;4159;4213;3987;4491;4181;4113;3829;4566;4006;4309;4342;4280;4258;3863;4450;4235;4189;4373;4079;3986;4284;4396;3489;4109;3960;4107;4186;4013;4434;4465;4049;4504;4072;3875;4333;3954;4180;4083;4018;4739;4008;4114;4466;4206;4147;4373;4303;4477;4200;4110;4302
6261;6344;6365;6475;5770;6083;5803;6196;6459;6568;6201;6169;6438;6479;6352;6328;6392;6701;6269;6129;5938;6349;6067;6059;6090;5478;6550;6484;6259;6131;6335;6276;5769;6158;6115;6035;6352;5924;6391;6252;5802;5997;6376;6580;5874;5981;5900;6230;6242;6050;5889;6683;6349;5944;6072;6142;5945;6236;6421;6332;6154;6547;6356;6333;6364;6221;6325;5964;6011;6488;6072;5880;6251;6169;5935;5952;6102;5726;5734;6463;6078;5810;6164;6324;6404;6485;6651;6362;6185;5881;6239;6370;6357;6363;5977;6080;6864;6005;6157;5936
8974;8602;8670;8732;8883;9145;8748;8331;9001;8784;9042;9096;8198;9186;9100;8779;8682;8919;8671;8358;8443;9414;8419;8638;8985;8390;8235;8610;9155;8455;9051;8470;9078;9023;9063;8538;8889;8755;8663;9321;8538;8896;8704;8542;8603;8891;8366;8569;9047;9182;8011;8858;8911;8447;8750;8592;9065;9163;8968;8849;9037;8862;8632;8359;7794;8128;8201;8376;8819;8550;8230;8534;8342;8768;9260;8950;8754;9232;8842;8121;8794;8603;8497;8470;8652;8393;8399;8389;8664;9140;8315;9317;9251;9029;8849;9699;8294;8791;8777;9202
11642;12035;11649;11468;11704;11794;11813;11431;11807;11211;11341;11144;12059;11687;12421;12008;11853;12168;11681;12131;11746;11872;11364;11278;11564;11633;11460;11404;11206;11056;11070;11223;11079;11063;11176;11536;11065;10873;11469;11295;11612;11315;11147;11637;11978;11998;11392;11509;11924;10934;12429;11459;12159;11924;11578;11900;11080;11564;11293;11443;11646;11466;10792;11295;11107;11461;11647;11101;11836;12128;11786;11420;11516;11450;11732;11541;11171;11883;11533;11789;11451;11528;11871;11478;12561;11902;12406;11919;12208;11363;11755;10977;11708;11527;11637;11515;11803;12591;11801;11375
